Date,Name,Year,Letterboxd URI,Rating
2020-10-26,Murder on the Orient Express,2017,https://boxd.it/dHjA,2
2020-10-26,The Haunting of Bly Manor,2020,https://boxd.it/rUdS,4
2020-10-28,"Yes, God, Yes",2019,https://boxd.it/jaGS,3.5
2020-10-30,The Disaster Artist,2017,https://boxd.it/cTqc,2.5
2020-10-30,Unorthodox,2020,https://boxd.it/pHfs,4
2020-10-31,Warcraft,2016,https://boxd.it/2czK,2.5
2020-10-31,Black Mirror: The Entire History of You,2011,https://boxd.it/hQZ4,5
2020-10-31,Prince of Persia: The Sands of Time,2010,https://boxd.it/1YpQ,2
2020-11-04,An American Pickle,2020,https://boxd.it/niWi,5
2020-11-12,Enola Holmes,2020,https://boxd.it/hX2o,2
2020-11-15,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",2020,https://boxd.it/pNiM,4
2020-11-15,My Neighbor Totoro,1988,https://boxd.it/20eA,4.5
2020-11-16,3:10 to Yuma,2007,https://boxd.it/23g0,4
2020-11-17,Baby Driver,2017,https://boxd.it/bhF2,3.5
2020-11-17,Primer,2004,https://boxd.it/6YA,3
2020-11-18,Suspiria,2018,https://boxd.it/cioI,3.5
2020-11-18,Beyond the Black Rainbow,2010,https://boxd.it/EzY,3.5
2020-11-18,Office Space,1999,https://boxd.it/28Em,3
2020-11-21,If Anything Happens I Love You,2020,https://boxd.it/qIv4,4
2020-11-21,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,3.5
2020-11-27,The Christmas Chronicles,2018,https://boxd.it/ja7e,2
2020-11-30,12 Angry Men,1957,https://boxd.it/2auI,4.5
2020-12-06,Mank,2020,https://boxd.it/mIuC,4
2020-12-07,Snowden,2016,https://boxd.it/9CWO,2
2020-12-07,Blockers,2018,https://boxd.it/fxEW,3
2020-12-11,I Am Not Your Negro,2016,https://boxd.it/etXy,4
2020-12-14,Persona,1966,https://boxd.it/29B4,5
2020-12-16,Love,2015,https://boxd.it/9brE,3.5
2020-12-22,Lion,2016,https://boxd.it/b2La,3.5
2020-12-25,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm,4.5
2020-12-26,Devs,2020,https://boxd.it/ppHI,5
2020-12-28,Death to 2020,2020,https://boxd.it/t4EQ,3
2020-12-31,Free Solo,2018,https://boxd.it/iEEq,3.5
2021-01-02,1BR,2019,https://boxd.it/mBag,3
2021-01-03,Upgrade,2018,https://boxd.it/i4gW,4
2021-01-08,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,4
2021-01-08,Knock Knock,2015,https://boxd.it/7Q9s,0.5
2021-01-09,The Cabin in the Woods,2011,https://boxd.it/1zOc,4
2021-01-10,Dick Johnson Is Dead,2020,https://boxd.it/oigy,4.5
2021-01-11,Thunder Road,2018,https://boxd.it/i8Hs,5
