Date,Content,Comment
2023-11-24,https://boxd.it/5cORaL,"She didn’t play his sister, she played his cousin."
2023-11-25,https://boxd.it/5dogvf,iykyk
2023-11-30,https://boxd.it/4OqYMj,Posting this is a violation of the NDA btw
2023-12-04,https://boxd.it/5gyUn3,lmao
2023-12-05,https://boxd.it/5gZUHV,👀
2023-12-07,https://boxd.it/5hjeId,I watched the original for the first time earlier this year. What a great year of films I’ve been lucky to experience.
2023-12-14,https://boxd.it/5jKKjL,@susie 😂😂
2023-12-14,https://boxd.it/5jIRux,lmao don't be silenced by a pretend movie critic 
2023-12-18,https://boxd.it/5lfzsX,"Wow, I'm not used to seeing you post a review so terse. No star rating?"
2023-12-26,https://boxd.it/5oIezN,The poem still exists. I think you can find it on Gutenberg. Merry Christmas!
2024-01-03,https://boxd.it/5talvv,She’d do anything for attention.
2024-01-05,https://boxd.it/5uZpeJ,Full endorsement
2024-01-10,https://boxd.it/5vq7w5,"@idygeyem I wouldn't say it was sucky, it was just extremely formulaic with not much new to say, as well as the plot having one or two incidents where it doesn't follow its own internal rules. "
2024-01-20,https://boxd.it/5DFdSX,graet
2024-01-21,https://boxd.it/5DJ4XH,@lukevineyard you are awesome
2024-01-21,https://boxd.it/5DlZNh,You're welcome.
2024-01-24,https://boxd.it/5Fp013,When are you gonna be on my screen again bruh
2024-01-31,https://boxd.it/5J7P7h,My thanks to you
2024-02-07,https://boxd.it/5DsPD1,"No, not this year"
2024-02-10,https://boxd.it/5NCx1X,Because she is
2024-02-11,https://boxd.it/49ks9D,How is this story Oedipal? Not sure I agree
2024-02-13,https://boxd.it/5P1GP7,your twin said something similar in his review
2024-02-15,https://boxd.it/5P7foZ,you're invited to my palentine's
2024-02-15,https://boxd.it/2A7fMj,happy valentine's day. this is the cutest review.
2024-02-16,https://boxd.it/5Q8aNr,murder isn’t vegan?
2024-02-17,https://boxd.it/5QKLud,lol p-cock
2024-02-26,https://boxd.it/5UXrAn,this had a completely different ending at one point.
2024-02-29,https://boxd.it/5W4ke3,"<blockquote>This place where we are now, it can be a lot of fun if you let it. You're gonna have a good time.</blockquote>"
2024-03-01,https://boxd.it/5WMkOD,i just finished the first episode recently. i’m looking forward to the journey
2024-03-05,https://boxd.it/5YTIPR,the fact this comes out of Rankin County of ALL places 🔥 talk about trial by fire
2024-03-07,https://boxd.it/5ZEmrn,LISAN AL’GAIB!
2024-03-08,https://boxd.it/608Uzl,Lisan al'gaib! 
2024-03-19,https://boxd.it/64WKU5,did you scare your girlfriend away
2024-03-22,https://boxd.it/66pKvh,"@garrtt that tracks. i’m pretty similar, though i typically only log a first watch once i finish the entire runtime consciously; i’ll never log a sleepwatch the first time"
2024-03-25,https://boxd.it/4PUml9,i’m going to see this later today
2024-03-25,https://boxd.it/sF6nq,add 8 more films and i’ll have you on the podcast again for a top 20 breakdown
2024-03-27,https://boxd.it/690N2p,"wow, was this your first time watching? "
2024-03-27,https://boxd.it/692Xn7,"Denis said he knows how they dismount, just that it wasn’t dramatically important… i’m so curious what that might look like"
2024-03-30,https://boxd.it/69SZ1h,@susieviews69 yeah i thought it was in poor taste and just cemented my ill feelings towards certain choices but damn if i ever forget about it i'll be lucky
2024-04-07,https://boxd.it/6dV89p,you're only at 5 watches. those are rookie numbers.
