Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-02-18,The Haunted Swordsman,2019,https://boxd.it/1Fw7ut,,,magnoliaiff,2021-02-17
2021-02-18,Moon Drops,2018,https://boxd.it/1FwgbP,,,magnoliaiff,2021-02-17
2021-02-18,Alina,2019,https://boxd.it/1FxTaD,5,,magnoliaiff,2021-02-17
2021-02-18,"Gon, the Little Fox",2019,https://boxd.it/1FzCSH,5,,magnoliaiff,2021-02-17
2021-02-18,Medicating Normal,2020,https://boxd.it/1FAu2b,,,magnoliaiff,2021-02-17
2021-02-19,Night Drive,2019,https://boxd.it/1FGdHN,2.5,,magnoliaiff,2021-02-18
2021-02-19,How to Stop a Recurring Dream,2021,https://boxd.it/1FGzVx,4,,magnoliaiff,2021-02-18
2021-02-20,Signs,2002,https://boxd.it/1FPvrr,4,Yes,mattycakes,2021-02-19
2021-02-22,Nomadland,2020,https://boxd.it/1G90rv,5,Yes,in theaters,2021-02-21
2021-02-23,Lady Macbeth,2016,https://boxd.it/1GiZJD,5,,,2021-02-22
2021-02-24,Kirikou and the Sorceress,1998,https://boxd.it/1Gs9NX,4.5,,,2021-02-23
2021-02-25,Come to Daddy,2019,https://boxd.it/1Gw6Or,4,,,2021-02-24
2021-02-25,The Mandela Effect,2019,https://boxd.it/1Gxs5P,3.5,,,2021-02-24
2021-02-26,Snakes on a Plane,2006,https://boxd.it/1GCV4B,2,,,2021-02-25
2021-02-26,Judas and the Black Messiah,2021,https://boxd.it/1GFk0D,3.5,,in theaters,2021-02-25
2021-02-28,The Alchemist Cookbook,2016,https://boxd.it/1GVQp3,3.5,,,2021-02-27
2021-03-01,Grave of the Fireflies,1988,https://boxd.it/1H4yj5,,,,2021-02-28
2021-03-02,Captain Marvel,2019,https://boxd.it/1HcXwp,3,,,2021-03-01
2021-03-02,Dredd,2012,https://boxd.it/1Hfnft,3.5,,,2021-03-01
2021-03-03,Caronte,2017,https://boxd.it/1Hl4dZ,3.5,,dust,2021-03-02
2021-03-03,Watch Room,2019,https://boxd.it/1Hl6yZ,4,Yes,dust,2021-03-02
2021-03-07,Boys & Toys,2020,https://boxd.it/1HTbFT,3,Yes,,2021-03-06
2021-03-07,Blocks,2020,https://boxd.it/1HTbVd,3.5,Yes,,2021-03-06
2021-03-07,Kapaemahu,2020,https://boxd.it/1HTbZ5,4,Yes,,2021-03-06
2021-03-07,The Haunted Swordsman,2019,https://boxd.it/1HTc2D,3.5,Yes,,2021-03-06
2021-03-07,Alina,2019,https://boxd.it/1HTcsr,5,Yes,,2021-03-06
2021-03-07,How to Stop a Recurring Dream,2021,https://boxd.it/1HTCJN,4,Yes,,2021-03-06
2021-03-09,"1, 2, 3, All Eyes On Me",2020,https://boxd.it/1Ica9v,5,Yes,,2021-03-08
2021-03-10,Blue Ruin,2013,https://boxd.it/1IgI8z,4.5,,,2021-03-09
2021-03-10,Harry Kiri,2019,https://boxd.it/1IjmOz,5,Yes,"jxnfilmclub, mattycakes",2021-03-09
2021-03-10,Gabby!,2020,https://boxd.it/1IjmRN,4,Yes,"jxnfilmclub, mattycakes",2021-03-09
2021-03-10,Boys & Toys,2020,https://boxd.it/1IjmWj,3,Yes,"jxnfilmclub, mattycakes",2021-03-09
2021-03-10,Blocks,2020,https://boxd.it/1Ijn0P,3.5,Yes,"jxnfilmclub, mattycakes",2021-03-09
2021-03-11,Super Mario Bros.,1993,https://boxd.it/1IpCEx,2,,,2021-03-10
2021-03-12,Sicario,2015,https://boxd.it/1IvfIN,5,,,2021-03-11
2021-03-12,The Father,2020,https://boxd.it/1IwZXB,3.5,,in theaters,2021-03-11
2021-03-13,Nightcrawler,2014,https://boxd.it/1IDlQz,5,,,2021-03-12
2021-03-14,Cherry,2021,https://boxd.it/1ILIx7,3.5,,,2021-03-13
2021-03-16,Sound of Metal,2019,https://boxd.it/1J6NmF,5,,,2021-03-15
2021-03-17,The Ides of March,2011,https://boxd.it/1JerCH,4.5,Yes,,2021-03-16
2021-03-22,The Dig,2021,https://boxd.it/1JRcEL,3.5,,,2021-03-21
2021-03-24,Chaos Walking,2021,https://boxd.it/1K9mTx,3,,in theaters,2021-03-23
2021-03-24,The History of Time Travel,2014,https://boxd.it/1Kbv93,3,,,2021-03-23
2021-03-25,Palm Springs,2020,https://boxd.it/1KhpIj,4.5,,,2021-03-24
2021-03-28,Enter the Void,2009,https://boxd.it/1KDKKp,5,,"profile, metamodern",2021-03-27
2021-03-30,V/H/S,2012,https://boxd.it/1KXpKD,3,Yes,,2021-03-29
2021-03-31,You Were Never Really Here,2017,https://boxd.it/1L8b9P,5,,,2021-03-30
2021-04-01,Captain Fantastic,2016,https://boxd.it/1Le4in,4,,,2021-03-31
2021-04-04,Malcolm & Marie,2021,https://boxd.it/1LHGTJ,4,,,2021-04-03
2021-04-05,Solaris,1972,https://boxd.it/1LOX6N,5,,,2021-04-04
2021-04-06,Sound of Metal,2019,https://boxd.it/1M4LrB,5,Yes,,2021-04-05
2021-04-08,First Reformed,2017,https://boxd.it/1MhrVR,5,,,2021-04-07
2021-04-11,Walk Hard: The Dewey Cox Story,2007,https://boxd.it/1MFN73,4,,,2021-04-10
2021-04-12,The Big Shave,1967,https://boxd.it/1MXsAJ,4,,,2021-04-11
2021-04-13,The Crazies,1973,https://boxd.it/1N57eN,4.5,,mubi,2021-04-12
2021-04-13,Nimic,2019,https://boxd.it/1N5gen,2.5,,mubi,2021-04-12
2021-04-15,No Country for Old Men,2007,https://boxd.it/1NgPwj,5,Yes,"in theaters, jxnfilmclub, mattycakes",2021-04-13
2021-04-15,The Return,2018,https://boxd.it/1Nml4h,4,,mubi,2021-04-14
2021-04-17,Cuatro paredes,2021,https://boxd.it/1NCPsF,3,,mubi,2021-04-16
2021-04-17,GUO4,2019,https://boxd.it/1NCTbt,3,,mubi,2021-04-16
2021-04-18,Synchronic,2019,https://boxd.it/1NNggB,4,,,2021-04-17
2021-04-19,Tideland,2005,https://boxd.it/1NVqmv,,,mubi,2021-04-18
2021-04-20,Forgetting Sarah Marshall,2008,https://boxd.it/1O54Xz,3,,,2021-04-19
2021-04-21,Red Moon Tide,2020,https://boxd.it/1OdW1b,3,,mubi,2021-04-20
2021-04-22,Midsommar,2019,https://boxd.it/1OkVBL,5,Yes,,2021-04-21
2021-04-23,"Empathy, Inc.",2018,https://boxd.it/1OqHCx,4,,,2021-04-22
2021-04-24,Dogtooth,2009,https://boxd.it/1OyiwP,4,,mubi,2021-04-23
2021-04-24,The Matrix,1999,https://boxd.it/1OBbhT,4,Yes,,2021-04-23
2021-04-25,The Falcon and the Winter Soldier,2021,https://boxd.it/1OLk37,3.5,,disney+,2021-04-24
2021-04-27,Fear & Shame,2017,https://boxd.it/1P7eWT,4,,,2021-04-26
2021-04-27,Munchausen,2013,https://boxd.it/1P7qzx,3.5,Yes,,2021-04-26
2021-04-28,The Tree of Life,2011,https://boxd.it/1PeWsd,5,,criterion,2021-04-27
2021-04-30,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/1PtTmL,3.5,,in theaters,2021-04-29
2021-05-03,Blade Runner,1982,https://boxd.it/1PS2rj,5,,directors cut,2021-05-02
2021-05-04,Hereditary,2018,https://boxd.it/1Q6z0N,4,Yes,,2021-05-03
2021-05-10,A Man Called Ove,2015,https://boxd.it/1QO5Bx,5,,mubi,2021-05-09
