Date,Name,Year,Letterboxd URI
2021-01-28,Edward Scissorhands,1990,https://boxd.it/2aZc
2021-01-28,Home Alone,1990,https://boxd.it/29Fg
2021-01-28,The Little Mermaid,1989,https://boxd.it/1WYO
2021-01-28,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw
2021-01-28,Dead Poets Society,1989,https://boxd.it/2aSg
2021-01-28,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2021-01-28,The Breakfast Club,1985,https://boxd.it/27q4
2021-01-28,Return of the Jedi,1983,https://boxd.it/27Vm
2021-01-28,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
2021-01-28,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2021-01-28,Rocky,1976,https://boxd.it/28Uk
2021-01-28,Jaws,1975,https://boxd.it/2a5e
2021-01-29,His House,2020,https://boxd.it/l8Qq
2021-01-30,Infinity Chamber,2016,https://boxd.it/fceo
2021-01-30,Peter Pan,2003,https://boxd.it/1VQY
2021-01-31,The Guest,2014,https://boxd.it/76RS
2021-02-01,Horse Girl,2020,https://boxd.it/oioi
2021-02-03,Blow the Man Down,2019,https://boxd.it/lzJ2
2021-02-03,Groundhog Day,1993,https://boxd.it/2b3e
2021-02-03,Apostle,2018,https://boxd.it/f0so
2021-02-05,Contact,1997,https://boxd.it/29OM
2021-02-07,The Wind Rises,2013,https://boxd.it/4JQS
2021-02-07,28 Days Later,2002,https://boxd.it/2aXU
2021-02-07,The Lost World: Jurassic Park,1997,https://boxd.it/2azS
2021-02-07,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU
2021-02-07,Nacho Libre,2006,https://boxd.it/1YTG
2021-02-09,WandaVision,2021,https://boxd.it/sbGW
2021-02-11,The Endless,2017,https://boxd.it/ffyw
2021-02-11,Only God Forgives,2013,https://boxd.it/2HBs
2021-02-11,Across the Universe,2007,https://boxd.it/23X4
2021-02-12,The King,2019,https://boxd.it/ieZs
2021-02-13,Resolution,2012,https://boxd.it/41hY
2021-02-13,Beyond the Line,2020,https://boxd.it/sG8m
2021-02-13,Nomadland,2020,https://boxd.it/lnRy
2021-02-14,Death by Hanging,1968,https://boxd.it/3nPm
2021-02-14,Harry Kiri,2019,https://boxd.it/mwxE
2021-02-14,A Family That Steals Dogs,2020,https://boxd.it/sUDS
2021-02-14,Green Grass,2020,https://boxd.it/spUo
2021-02-14,Kapaemahu,2020,https://boxd.it/qFea
2021-02-14,Benevolent Ba,2020,https://boxd.it/olGY
2021-02-14,It's Okay,2020,https://boxd.it/sflS
2021-02-17,Gabby!,2020,https://boxd.it/qncK
2021-02-17,Blocks,2020,https://boxd.it/olEI
2021-02-17,Anna,2019,https://boxd.it/lYvY
2021-02-17,Minari,2020,https://boxd.it/mL9M
2021-02-18,Alina,2019,https://boxd.it/rTeg
2021-02-18,"Gon, the Little Fox",2019,https://boxd.it/olAc
2021-02-19,The Haunted Swordsman,2019,https://boxd.it/nt9Q
2021-02-19,Moon Drops,2018,https://boxd.it/mxk2
2021-02-19,How to Stop a Recurring Dream,2021,https://boxd.it/sW3s
2021-02-19,Gone,2020,https://boxd.it/sMKw
2021-02-20,Mean Girls,2004,https://boxd.it/1VNg
2021-02-20,Signs,2002,https://boxd.it/26t2
2021-02-23,Lady Macbeth,2016,https://boxd.it/erJk
2021-02-24,Kirikou and the Sorceress,1998,https://boxd.it/1C3y
2021-02-25,Come to Daddy,2019,https://boxd.it/lAqK
2021-02-25,The Mandela Effect,2019,https://boxd.it/hGGQ
2021-02-26,Judas and the Black Messiah,2021,https://boxd.it/lsew
2021-03-02,Dredd,2012,https://boxd.it/GZE
2021-03-03,Caronte,2017,https://boxd.it/in8i
2021-03-03,Watch Room,2019,https://boxd.it/mB9M
2021-03-03,SophiaWorld,2019,https://boxd.it/nk8u
2021-03-03,World Builder,2007,https://boxd.it/wYc
2021-03-03,Regulation,2019,https://boxd.it/oyvu
2021-03-03,Invaders,2018,https://boxd.it/kQX4
2021-03-03,Snapdragons,2016,https://boxd.it/f6Qm
2021-03-04,Watchmen,2019,https://boxd.it/ol5e
2021-03-04,Sharp Objects,2018,https://boxd.it/j3NM
2021-03-04,Black Mirror: The National Anthem,2011,https://boxd.it/hQYK
2021-03-04,Black Mirror: Fifteen Million Merits,2011,https://boxd.it/hQYU
2021-03-04,Black Mirror: Be Right Back,2013,https://boxd.it/hRpw
2021-03-04,Black Mirror: White Bear,2013,https://boxd.it/hRpG
2021-03-04,Black Mirror: The Waldo Moment,2013,https://boxd.it/hRpQ
2021-03-04,Black Mirror: Nosedive,2016,https://boxd.it/hK9G
2021-03-04,Black Mirror: Playtest,2016,https://boxd.it/hRR6
2021-03-04,Black Mirror: Shut Up and Dance,2016,https://boxd.it/hRRq
2021-03-04,Black Mirror: Men Against Fire,2016,https://boxd.it/hSBS
2021-03-04,Black Mirror: Hated in the Nation,2016,https://boxd.it/hSBI
2021-03-04,Black Mirror: Crocodile,2017,https://boxd.it/hRoS
2021-03-04,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA
2021-03-04,Black Mirror: Metalhead,2017,https://boxd.it/hRqk
2021-03-04,Black Mirror: Black Museum,2017,https://boxd.it/hRqu
2021-03-04,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG
2021-03-04,Black Mirror: Striking Vipers,2019,https://boxd.it/mlse
2021-03-04,Battlestar Galactica,2003,https://boxd.it/aBAu
2021-03-04,Trump: An American Dream,2017,https://boxd.it/k0Ps
2021-03-04,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2021-03-04,Ghostbusters,1984,https://boxd.it/g2w
2021-03-04,Back to the Future,1985,https://boxd.it/2b8e
2021-03-04,Beetlejuice,1988,https://boxd.it/24QI
2021-03-04,The Fly,1986,https://boxd.it/1YIe
2021-03-04,Chicken Run,2000,https://boxd.it/20Xg
2021-03-04,Scary Movie,2000,https://boxd.it/24CG
2021-03-04,I Am Legend,2007,https://boxd.it/21DG
2021-03-04,Superman Returns,2006,https://boxd.it/28J2
2021-03-04,Paranormal Activity,2007,https://boxd.it/1yIM
2021-03-04,The Wizard of Oz,1939,https://boxd.it/29Xu
2021-03-04,The Chronicles of Riddick,2004,https://boxd.it/26iy
2021-03-04,The Ring,2002,https://boxd.it/2a70
2021-03-04,Labyrinth,1986,https://boxd.it/1POC
2021-03-04,Hook,1991,https://boxd.it/29nQ
2021-03-07,Valerian and the City of a Thousand Planets,2017,https://boxd.it/biYY
2021-03-07,Boys & Toys,2020,https://boxd.it/qA66
2021-03-10,Blue Ruin,2013,https://boxd.it/5H8G
2021-03-11,Super Mario Bros.,1993,https://boxd.it/1YfG
2021-03-12,Sicario,2015,https://boxd.it/8i7u
2021-03-12,The Father,2020,https://boxd.it/m8Ie
2021-03-12,The Post,2017,https://boxd.it/fTeG
2021-03-13,Nightcrawler,2014,https://boxd.it/780m
2021-03-16,Sound of Metal,2019,https://boxd.it/i7Q4
2021-03-17,The Ides of March,2011,https://boxd.it/1WyG
2021-03-22,The Dig,2021,https://boxd.it/jo2i
2021-03-24,Chaos Walking,2021,https://boxd.it/ey2M
2021-03-24,The History of Time Travel,2014,https://boxd.it/bCaE
2021-03-25,Palm Springs,2020,https://boxd.it/lCXQ
2021-03-30,The Alchemist Cookbook,2016,https://boxd.it/dg9S
2021-03-31,You Were Never Really Here,2017,https://boxd.it/dWOS
2021-04-01,Captain Fantastic,2016,https://boxd.it/b2K2
2021-04-04,Malcolm & Marie,2021,https://boxd.it/r5cO
2021-04-05,Solaris,1972,https://boxd.it/2a2Y
2021-04-11,Walk Hard: The Dewey Cox Story,2007,https://boxd.it/21wK
2021-04-13,The Crazies,1973,https://boxd.it/1nwg
2021-04-15,The Return,2018,https://boxd.it/hYPm
2021-04-18,Synchronic,2019,https://boxd.it/k3M2
2021-04-20,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq
